OBJECTID_1,OBJECTID,ZIP,TotalPop,TotalConfirmedCases,ActiveCases_str,Death_str,EditDate,SHAPE_Length,SHAPE_Area
88,71,77055,44680,3640,199,51,2021/03/05,0.299875266137779,0.00195951527353231
89,121,77058,16911,1150,76,9,2021/03/05,0.310143509848806,0.00275359091832273
90,112,77059,16944,802,59,0-5,2021/03/05,0.237974217305714,0.00249687998013834
91,76,77060,44828,3612,173,34,2021/03/05,0.241021905814183,0.00195047546237154
92,123,77061,25607,2291,113,42,2021/03/05,0.250713114490195,0.00187007206347059
93,50,77069,18622,1004,44,0-5,2021/03/05,0.188987400918222,0.0011493137037508
94,64,77074,41386,3327,221,37,2021/03/05,0.268206259540972,0.00138402669364299
95,47,77082,55527,3725,203,52,2021/03/05,0.324796720218985,0.0028649289791441
96,158,77087,36869,3959,239,57,2021/03/05,0.218378570422341,0.00159041876668712
97,52,77090,39381,2910,129,22,2021/03/05,0.300003395290278,0.00219993642353574
98,85,77091,27078,2385,209,33,2021/03/05,0.321958870425001,0.00178733044352492
99,66,77099,53357,4355,269,48,2021/03/05,0.181212181895671,0.00138041421790653
100,99,77345,28804,513,53,0-5,2021/03/05,0.25326720973058,0.00202267518598524
102,129,77357,25359,15,0-5,0-5,2021/03/05,0.221304229126812,0.000710825090649177
103,38,77379,79986,5124,249,15,2021/03/05,0.383239777937522,0.00629045898203578
105,92,77396,57775,4625,232,34,2021/03/05,0.414175501358983,0.0059683591837827
106,149,77450,73683,2657,158,20,2021/03/05,0.286411560075208,0.00222653973007259
107,203,77493,32257,3460,221,52,2021/03/05,0.556582276436048,0.0106830818623122
108,150,77494,114989,348,11,0-5,2021/03/05,0.142242857207936,0.00065278225754413
109,108,77546,53320,883,52,7,2021/03/05,0.330167383509587,0.00215283709507141
111,218,77007,37492,2770,160,7,2021/03/05,0.26462959124946,0.00189715715161032
112,86,77013,20706,1440,79,13,2021/03/05,0.279543512275421,0.00222987035574591
113,90,77015,56155,5205,243,41,2021/03/05,0.456948214387977,0.00534014117619845
114,81,77016,30184,2595,172,45,2021/03/05,0.256870149553576,0.00245714633800332
115,185,77018,28235,1749,131,20,2021/03/05,0.235217807545392,0.0016387255873614
116,227,77019,21319,1510,96,6,2021/03/05,0.219171352860377,0.000898484299304952
117,73,77022,28277,2648,188,50,2021/03/05,0.186960883469608,0.00142788535911287
118,213,77030,10963,842,36,8,2021/03/05,0.145606294886679,0.000633960301281657
119,59,77031,17536,1272,64,14,2021/03/05,0.139062997721287,0.000779817049474886
120,43,77041,34885,2801,135,17,2021/03/05,0.415131885096084,0.00520655137356461
121,178,77047,29693,2519,151,16,2021/03/05,0.325757270666702,0.00347168648156317
122,197,77051,17052,1287,79,17,2021/03/05,0.207445309851709,0.00140100161661962
123,62,77057,41503,2630,159,34,2021/03/05,0.176811747482284,0.00103277061354448
124,63,77063,38961,2669,163,35,2021/03/05,0.224629467417406,0.00105133366242397
125,39,77065,38265,2446,115,6,2021/03/05,0.296983912752386,0.002062189577051
126,54,77066,36703,2576,105,8,2021/03/05,0.241902735255635,0.00211834021112742
127,51,77068,10991,788,41,0-5,2021/03/05,0.19806753515074,0.000937394161380431
128,65,77072,61818,4886,287,81,2021/03/05,0.192662950397618,0.0017850313742244
129,78,77073,41745,4304,179,17,2021/03/05,0.392999191390135,0.00394974289545717
130,74,77076,34985,3206,223,32,2021/03/05,0.194879381453357,0.00119515985017076
131,88,77078,15411,1334,92,11,2021/03/05,0.2655090656803,0.0023585907797812
132,116,77079,33768,2209,118,12,2021/03/05,0.251565245499598,0.00186199976630193
133,44,77080,45832,3834,257,39,2021/03/05,0.217252738180293,0.00158121524001812
134,41,77084,107700,9688,476,27,2021/03/05,0.465644104265782,0.0076726989092504
135,120,77093,46875,4676,238,54,2021/03/05,0.245679846087144,0.00289541800427652
136,40,77095,71878,4792,291,36,2021/03/05,0.336494100704059,0.0035586240572379
137,60,77096,33769,1978,120,11,2021/03/05,0.19930344013422,0.00148269403952132
138,226,77098,13549,855,38,7,2021/03/05,0.102000268152173,0.000428170142051335
139,153,77339,41205,971,85,29,2021/03/05,0.263506077440975,0.00318265861803056
140,101,77373,59093,4179,207,37,2021/03/05,0.421715474042435,0.00579192527473849
142,35,77388,49487,3294,161,9,2021/03/05,0.340088096761751,0.00321217744904569
143,36,77389,35349,2193,124,8,2021/03/05,0.469662437163682,0.00527470699096595
144,100,77449,122814,10408,474,56,2021/03/05,0.428807750082524,0.00656889490979538
145,256,77484,11059,188,15,0-5,2021/03/05,0.534395369448359,0.00790318321737739
147,110,77505,24022,2049,108,21,2021/03/05,0.256214263502706,0.00200578256076664
148,102,77506,38568,3617,152,22,2021/03/05,0.236067343565561,0.00250718923095475
149,138,77523,22101,64,0-5,0-5,2021/03/05,0.23572458538287,0.00090452644179353
150,89,77530,32922,3023,121,25,2021/03/05,0.358170829900726,0.00413342472398397
151,93,77532,29608,2490,130,33,2021/03/05,0.676530280476072,0.0210638771747998
152,95,77571,37360,2695,164,21,2021/03/05,0.582826066171155,0.00942144317249239
153,180,77581,49612,98,0-5,0-5,2021/03/05,0.276227266871523,0.000377774599549828
154,261,77586,22527,1320,77,0-5,2021/03/05,0.338940609637389,0.00316540577706103
