ZIP Code,Week Number,Week Start,Week End,Cases - Weekly,Cases - Cumulative,Case Rate - Weekly,Case Rate - Cumulative,Tests - Weekly,Tests - Cumulative,Test Rate - Weekly,Test Rate - Cumulative,Percent Tested Positive - Weekly,Percent Tested Positive - Cumulative,Deaths - Weekly,Deaths - Cumulative,Death Rate - Weekly,Death Rate - Cumulative,Population,Row ID,ZIP Code Location
60626,24,06/07/2020,06/13/2020,29,1101,58,2214,1282,6235,2578,12537.7,0.1,0.2,6,107,12.1,215.2,49730,60626-2020-24,POINT (-87.669834 42.009469)
60623,32,08/02/2020,08/08/2020,66,3900,77,4536,1082,19115,1258,22232.2,0.1,0.2,0,155,0.0,180.3,85979,60623-2020-32,POINT (-87.717446 41.850321)
60623,33,08/09/2020,08/15/2020,79,3979,92,4627.9,1240,20355,1442,23674.4,0.1,0.2,1,156,1.2,181.4,85979,60623-2020-33,POINT (-87.717446 41.850321)
60623,6,02/07/2021,02/13/2021,59,10089,69,11734.3,1459,71186,1697,82794.6,0.0,0.2,1,238,1.2,276.8,85979,60623-2021-6,POINT (-87.717446 41.850321)
60623,7,02/14/2021,02/20/2021,41,10130,48,11781.9,1380,72566,1605,84399.7,0.0,0.2,0,238,0.0,276.8,85979,60623-2021-7,POINT (-87.717446 41.850321)
60624,31,07/26/2020,08/01/2020,20,1042,55,2881.8,524,7642,1449,21135,0.0,0.1,0,29,0.0,80.2,36158,60624-2020-31,POINT (-87.722735 41.879417)
60624,32,08/02/2020,08/08/2020,17,1059,47,2928.8,520,8162,1438,22573.2,0.0,0.1,0,29,0.0,80.2,36158,60624-2020-32,POINT (-87.722735 41.879417)
60624,33,08/09/2020,08/15/2020,31,1090,86,3014.5,709,8871,1961,24534,0.0,0.1,0,29,0.0,80.2,36158,60624-2020-33,POINT (-87.722735 41.879417)
60624,34,08/16/2020,08/22/2020,34,1124,94,3108.6,546,9417,1510,26044,0.1,0.1,0,29,0.0,80.2,36158,60624-2020-34,POINT (-87.722735 41.879417)
60624,35,08/23/2020,08/29/2020,22,1146,61,3169.4,601,10018,1662,27706.2,0.0,0.1,0,29,0.0,80.2,36158,60624-2020-35,POINT (-87.722735 41.879417)
60624,36,08/30/2020,09/05/2020,31,1177,86,3255.2,655,10673,1812,29517.7,0.0,0.1,0,29,0.0,80.2,36158,60624-2020-36,POINT (-87.722735 41.879417)
60629,19,05/03/2020,05/09/2020,477,2036,426,1820.3,1516,5034,1355,4500.7,0.3,0.4,10,40,8.9,35.8,111850,60629-2020-19,POINT (-87.711565 41.777061)
60629,28,07/05/2020,07/11/2020,84,3664,75,3275.8,1362,16538,1218,14785.9,0.1,0.2,1,97,0.9,86.7,111850,60629-2020-28,POINT (-87.711565 41.777061)
60624,24,06/07/2020,06/13/2020,13,873,36,2414.4,418,4170,1156,11532.7,0.0,0.2,0,24,0.0,66.4,36158,60624-2020-24,POINT (-87.722735 41.879417)
60624,25,06/14/2020,06/20/2020,22,895,61,2475.2,415,4585,1148,12680.5,0.1,0.2,3,27,8.3,74.7,36158,60624-2020-25,POINT (-87.722735 41.879417)
60629,29,07/12/2020,07/18/2020,106,3770,95,3370.6,1602,18140,1432,16218.1,0.1,0.2,3,100,2.7,89.4,111850,60629-2020-29,POINT (-87.711565 41.777061)
60629,30,07/19/2020,07/25/2020,99,3869,88,3459.1,1410,19550,1261,17478.8,0.1,0.2,2,102,1.8,91.2,111850,60629-2020-30,POINT (-87.711565 41.777061)
